Type, name, layers
Avatar,background-base,5
Avatar,business-profile,20/35
Avatar,punk-profile,20/35
Avatar,miss-profile,20/35
Avatar,business-ears,30
Avatar,punk-ears,30
Avatar,miss-ears,30
Avatar,business-angry-mouth,45
Avatar,business-confused-mouth,45
Avatar,business-mouth,45
Avatar,business-scheming-mouth,45
Avatar,business-tired-mouth,45
Avatar,business-uninterested-mouth,45
Avatar,miss-annoyed-mouth,45
Avatar,miss-confident-mouth,45
Avatar,miss-disgusted-mouth,45
Avatar,miss-mouth,45
Avatar,miss-scheming-mouth,45
Avatar,miss-surprised-mouth,45
Avatar,punk-annoyed-mouth,45
Avatar,punk-confident-mouth,45
Avatar,punk-crying-mouth,45
Avatar,punk-disgusted-mouth,45
Avatar,punk-embarassed-mouth,45
Avatar,punk-mouth,45
Avatar,business-angry-eyes,50
Avatar,business-confused-eyes,50
Avatar,business-scheming-eyes,50
Avatar,business-tired-eyes,50
Avatar,business-uninterested-eyes,50
Avatar,miss-annoyed-eyes,50
Avatar,miss-confident-eyes,50
Avatar,miss-disgusted-eyes,50
Avatar,miss-scheming-eyes,50
Avatar,miss-surprised-eyes,50
Avatar,punk-annoyed-eyes,50
Avatar,punk-confident-eyes,50
Avatar,punk-crying-eyes,50
Avatar,punk-disgusted-eyes,50
Avatar,punk-embarassed-eyes,50
Avatar,business-nose,55
Avatar,miss-nose,55
Avatar,punk-nose,55
Avatar,hair-1-base,75
Avatar,hair-1,75
Avatar,hair-2,10/75
Avatar,hair-2-base,10/75
Avatar,hair-3,75
Avatar,hair-4,10/75
Avatar,hair-5,10/75
Avatar,hair-6,10/75
Avatar,hair-6-base,10/75
Avatar,hair-7,10/75
Avatar,hair-8,10/75
Avatar,hair-9,10/75
Avatar,hair-10,75
Avatar,hair-11,75
Avatar,hair-12,75
Avatar,hair-13,10/75/90
Avatar,hair-14,75
Avatar,hair-15,75
Avatar,1,70
Avatar,2,70
Avatar,3,70
Avatar,4,70
Accessory,assassin-cap,15/95
Accessory,astro-suit,95
Accessory,devil-jacket,15/95
Accessory,helicap-tshirt,95
Accessory,lab-coat,15/95
Accessory,magic-cap,95
Accessory,shinobi-suit,15/95
Accessory,street-jacket,15/95
Accessory,super-suit,95
Accessory,yakuza-suit,15/95
Accessory,dfinity-eyemask,80
Accessory,lab-glasses,80
Accessory,monocle,80
Accessory,sunglasses,80
Accessory,facemask,81
Accessory,oni-face-mask,81
Accessory,assassin-hood,16/85
Accessory,astro-helmet,16/85
Accessory,helicap,85
Accessory,magic-hood,85
Accessory,marshall-hat,85
Accessory,ninja-headband,85
Accessory,shinobi-hat,16/85
