category,name,slot,recipe
Material,Cloth
Material,Wood
Material,Glass
Material,Metal
Material,Circuit
Material,Dfinity-stone
Material,Punk-essence
Material,Cronic-essence
Accessory,Assassin-cap,body,Cloth/Cloth/Cloth/Cloth/Glass/Glass/Glass/Metal/Metal
Accessory,Astro-suit,body,Metal/Metal/Metal/Metal/Glass/Glass/Glass/Circuit/Circuit/Dfinity-stone
Accessory,Bootcamp-soldier,body,None
Accessory,Cronic-tshirt,body,Cronic-essence/Cronic-essence/Cronic-essence/Cloth/Cloth
Accessory,Devil-jacket,body,Cloth/Cloth/Cloth/Cloth/Cloth/Cloth/Wood/Wood/Wood/Wood/Wood/Wood/Metal/Metal/Metal/Metal/Metal/Metal
Accessory,Helicap-tshirt,body,Cloth/Cloth/Cloth/Cloth/Wood/Wood/Wood/Wood
Accessory,Lab-coat,body,Glass/Glass/Glass/Circuit
Accessory,Magic-cap,body,Cloth/Cloth/Cloth/Cloth/Cloth/Cloth/Cloth/Cloth/Cloth/Dfinity-stone
Accessory,Shinobi-suit,body,Cloth/Cloth/Wood/Wood/Metal/Metal/Metal/Circuit
Accessory,Street-jacket,body,Cloth/Cloth/Cloth/Cloth/Cloth/Cloth/Cloth/Glass/Circuit/Circuit
Accessory,Yakuza-suit,body,Cloth/Cloth/Glass/Glass/Glass/Metal/Metal/Metal
Accessory,Cronic-eyepatch,eyes,Cronic-essence/Cronic-essence/Cloth/Wood/Wood
Accessory,Dfinity-eyemask,eyes,Cloth/Cloth/Cloth/Wood/Wood/Dfinity-stone
Accessory,Lab-glasses,eyes,Cloth/Cloth/Cloth/Glass/Glass/Metal
Accessory,Monocle,eyes,Cloth/Cloth/Metal/Metal/Glass
Accessory,Punk-glasses,eyes,Punk-essence/Punk-essence/Cloth/Glass/Glass
Accessory,Sunglasses,eyes,Glass/Glass/Metal/Circuit
Accessory,Facemask,face,Cloth/Cloth/Cloth/Cloth/Metal/Metal/Metal/Metal/Metal/Metal
Accessory,Oni-face-mask,face,Wood/Wood/Wood/Wood/Metal/Metal/Metal/Metal
Accessory,Punk-mask,face,Punk-essence/Punk-essence/Punk-essence/Cloth/Cloth/Cloth
Accessory,Assassin-hood,hat,Cloth/Cloth/Cloth/Cloth/Metal/Metal/Metal/Metal
Accessory,Astro-helmet,hat,Glass/Glass/Metal/Metal/Metal/Circuit/Circuit/Dfinity-stone
Accessory,Helicap,hat,Cloth/Cloth/Cloth/Cloth/Wood/Wood/Wood
Accessory,Magic-hood,hat,Cloth/Metal/Metal/Metal/Metal/Metal/Metal/Metal/Metal/Dfinity-stone
Accessory,Marshall-hat,hat,Cloth/Cloth/Cloth/Metal/Metal/Metal
Accessory,Mortaboard-hat,hat,None
Accessory,Ninja-headband,hat,Wood/Wood/Wood/Glass/Metal/Metal/Metal
Accessory,Shinobi-hat,hat,Wood/Wood/Wood/Wood/Wood/Metal/Metal/Metal/Metal/Metal
Accessory,Cronic-background-cross,misc,Cronic-essence/Cronic-essence/Cronic-essence/Metal
Accessory,Cronic-background-snow,misc,
Accessory,Snowfall-background,misc,Cloth/Wood/Wood/Wood/Wood/Glass/Glass/Metal
Accessory,Sunrise-background,misc,
